Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Aruba;GDP per capita (current US$);240452724833547;258351326676284;270847036903653;246304537141023;235126025956397;249859932813737;247136980451285;250250995629083;255335697803984;257963802506382;252396004109932
Afghanistan;GDP per capita (current US$);263733734678911;359693480030525;364660465388571;438076034406941;543303041863931;59116234645088;641872033785411;63716504385598;613856332882312;578466352941708;547228110150363
Angola;GDP per capita (current US$);259956646397608;312199563726236;408094140992346;312278076649385;358788379824396;461546802807906;510009580809767;525488233799616;540841049555432;416697968386501;350607288506966
Albania;GDP per capita (current US$);297274326462176;359503716321514;437054008654749;411414015001395;409436211924475;443717806741261;424761427862374;44130817427964;457866672031333;395282945832578;412410890718622
Andorra;GDP per capita (current US$);437476918489433;485822208830236;47785089272664;433388667579064;397363540626699;411007299382214;383929439012206;406267516320228;423003341276669;360396534962289;372241089162924
Arab World;GDP per capita (current US$);435668841474906;496064958863061;614356120827107;518272658022931;594625857899362;689010551399639;750453252479256;755272030955995;749893831698475;645887015899263;62137851565211
United Arab Emirates;GDP per capita (current US$);41907405655968;41809516382842;444989342301633;320241816031187;33893303514039;391946766208456;409764997112455;424126302780364;437518388860721;386633838066363;381418467585492
Argentina;GDP per capita (current US$);591901203707753;724544831728945;902087309807194;822513717626412;103859644319555;128488641969705;13082664325572;130802547323367;123347982453893;13789060424772;127902424732447
Armenia;GDP per capita (current US$);215814369710179;313927749894333;401085724255226;299434254448509;321837270660563;352580474671153;36818574560431;383818580148382;398623162376713;360729669672271;359182927553023
American Samoa;GDP per capita (current US$);839156106721708;890944915617236;979266680581646;119612582255703;102712245225485;102943022651052;115687930012395;115053937142139;115072323493037;118433311832581;116969555623329
Antigua and Barbuda;GDP per capita (current US$);139897156660433;156070898690088;160243455512142;141130772600466;130492570545735;127462050243357;132724413293826;129097441775006;135015809223367;142860931598293;151976174551735
Australia;GDP per capita (current US$);360449228108485;409600544948199;496016567082178;427723591664498;520221255961876;625178337471503;680121479005934;681501070413215;625107911705641;567557217124249;49971131456129
Austria;GDP per capita (current US$);406352818159724;468557717452095;517087657541758;479631794023217;468580432733717;513749584066934;4856769528642;507167087062864;517174959405515;441780473777432;452378050921543
Azerbaijan;GDP per capita (current US$);247308181863536;385143786871172;557460380218613;495029479142375;584280578358576;718969122920765;749629464768263;787575695254288;789131314749986;550032049702735;388073873089556
Burundi;GDP per capita (current US$);167376484505492;172495859926837;198352900555063;212136880390025;234235646874999;249577979366801;252358979858344;256976002796754;274857947913846;305549772797441;282193130404814
Belgium;GDP per capita (current US$);386727059429767;442628960009954;48106892915788;445835448070814;441418781415734;473485250202016;446731158755901;467446625441516;477005403601178;409918081381432;420120999001128
