Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Aruba;Population, total;100834;101222;101358;101455;101669;102046;102560;103159;103774;104341;104872
Afghanistan;Population, total;26433049;27100536;27722276;28394813;29185507;30117413;31161376;32269589;33370794;34413603;35383128
Angola;Population, total;20149901;20905363;21695634;22514281;23356246;24220661;25107931;26015780;26941779;27884381;28842484
Albania;Population, total;2992547;2970017;2947314;2927519;2913021;2905195;2900401;2895092;2889104;2880703;2876101
Andorra;Population, total;80993;82684;83862;84463;84449;83747;82427;80774;79213;78011;77297
Arab World;Population, total;322452754;330290716;338395961;346629220;354890042;363158703;371443547;379705719;387907748;396028278;404024433
United Arab Emirates;Population, total;5300174;6168838;7089487;7917372;8549988;8946777;9141596;9197910;9214175;9262900;9360980
Argentina;Population, total;39289878;39684295;40080160;40482788;40788453;41261490;41733271;42202935;42669500;43131966;43590368
Armenia;Population, total;2958307;2932618;2907618;2888092;2877319;2876538;2884229;2897584;2912403;2925553;2936146
American Samoa;Population, total;59107;58365;57492;56683;56079;55759;55667;55713;55791;55812;55741
Antigua and Barbuda;Population, total;82704;84026;85397;86746;88028;89253;90409;91516;92562;93566;94527
Australia;Population, total;20697900;20827600;21249200;21691700;22031750;22340024;22733465;23128129;23475686;23815995;24190907
Austria;Population, total;8268641;8295487;8321496;8343323;8363404;8391643;8429991;8479823;8546356;8642699;8736668
Azerbaijan;Population, total;8484550;8581300;8763400;8947243;9054332;9173082;9295784;9416801;9535079;9649341;9757812
Burundi;Population, total;7607849;7862214;8126102;8397668;8675602;8958406;9245988;9540289;9844297;10160030;10487998
Belgium;Population, total;10547958;10625700;10709973;10796493;10895586;11038264;11106932;11159407;11209057;11274196;11331422
Benin;Population, total;8216897;8454793;8696921;8944708;9199259;9460830;9729248;10004588;10286842;10575952;10872067
Burkina Faso;Population, total;13829176;14252021;14689725;15141098;15605217;16081911;16571246;17072775;17586017;18110624;18646378
Bangladesh;Population, total;140921167;142660376;144304167;145924797;147575430;149273778;151007807;152764676;154520167;156256276;157970840
Bulgaria;Population, total;7601022;7545338;7492561;7444443;7395599;7348328;7305888;7265115;7223938;7177991;7127822
Bahrain;Population, total;958418;1035919;1114641;1185076;1240860;1278151;1299943;1315029;1336075;1371851;1425791
